loc_rowid,kepid,kepoi_name,kepler_name,Exo status,Orbital period,impact parameter,transit duration,radii(planet),orbit semi major,temperature,star temp,star radii,star mass
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,0.818,1.74319,13.04,0.0354,1339,5820,0.964,0.971
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,0.224,3.88864,16.1,0.0376,2048,6440,1.952,1.449
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,4.887803076,0.054,2.36255,4.82,0.053,800,4778,0.763,0.83
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,3.849371737,0.915,2.632,12.94,0.0548,2034,6244,2.992,1.482
5,8554498,K00005.01,,CANDIDATE,4.780327581,0.952,2.0253,7.14,0.059,1441,5937,1.787,1.197
6,3248033,K00006.01,,FALSE POSITIVE,1.334101467,0.153,2.1033,1.74,0.025,2169,6178,1.58,1.16
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668926,0.021,3.98235,4.13,0.044,1515,5795,1.545,1.097
8,5903312,K00008.01,,FALSE POSITIVE,1.16015259,0.748,1.3433,1.4,0.0213,1751,5842,0.985,0.959
9,11553706,K00009.01,,FALSE POSITIVE,3.719809197,1.279,3.5317,87.21,0.0514,1873,6284,2.348,1.309
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,0.631,3.19843,14.59,0.0473,1521,6225,1.451,1.132
11,11913073,K00011.01,,FALSE POSITIVE,3.747838198,1.121,5.0642,13.65,0.046,1031,5514,0.826,0.926
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,17.85522168,0.075,7.41287,13.16,0.1491,911,6823,1.367,1.386
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,1.763587535,0.512,3.16877,21.42,0.0386,3559,9107,3.031,2.466
14,7684873,K00014.01,,FALSE POSITIVE,2.947376671,2.641,2.0911,403.59,0.0492,2404,8090,2.234,1.828
